Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:

6055 : (x,y) = (44.3931,-5.25787)

6056 : (x,y) = (44.8197,-4.35346)

6057 : (x,y) = (45.6706,-4.87886)

6058 : (x,y) = (45.0715,-5.67952)

6059 : (x,y) = (44.2625,-6.26738)

6060 : (x,y) = (44.0062,-5.30079)

6061 : (x,y) = (44.9544,-5.61838)

6062 : (x,y) = (44.8953,-4.62013)

6063 : (x,y) = (45.8899,-4.72313)

6064 : (x,y) = (45.4983,-5.64326)

6065 : (x,y) = (45.8885,-4.72251)

6066 : (x,y) = (45.0404,-5.25234)

6067 : (x,y) = (44.352,-4.52696)

6068 : (x,y) = (44.2598,-5.52269)

6069 : (x,y) = (43.927,-4.57967)

6070 : (x,y) = (44.6634,-5.25631)

6071 : (x,y) = (43.6636,-5.23472)

6072 : (x,y) = (42.7727,-4.78041)

6073 : (x,y) = (43.1812,-3.86765)

6074 : (x,y) = (42.9218,-4.83342)

6075 : (x,y) = (43.6802,-4.18159)

6076 : (x,y) = (42.7585,-4.56954)

6077 : (x,y) = (42.162,-3.76697)

6078 : (x,y) = (43.1112,-3.4524)

6079 : (x,y) = (42.2684,-3.99069)

6080 : (x,y) = (42.737,-4.87415)

6081 : (x,y) = (43.3242,-5.68358)

6082 : (x,y) = (44.2276,-6.1124)

6083 : (x,y) = (44.6513,-7.01817)

6084 : (x,y) = (44.9572,-6.06608)

6085 : (x,y) = (44.7074,-7.0344)

6086 : (x,y) = (44.4511,-6.0678)

6087 : (x,y) = (45.4384,-5.90848)

6088 : (x,y) = (44.5697,-6.40398)

6089 : (x,y) = (44.097,-7.28519)

6090 : (x,y) = (43.1193,-7.07517)

6091 : (x,y) = (42.6761,-6.17876)

6092 : (x,y) = (42.7137,-7.17806)

6093 : (x,y) = (43.0004,-6.22004)

6094 : (x,y) = (42.4447,-5.38866)

6095 : (x,y) = (42.3724,-6.38604)

6096 : (x,y) = (41.6913,-5.65381)

6097 : (x,y) = (42.4794,-6.26944)

6098 : (x,y) = (42.7178,-5.29829)

6099 : (x,y) = (43.6255,-5.71805)

6100 : (x,y) = (42.6257,-5.69646)

6101 : (x,y) = (42.9189,-6.6525)

6102 : (x,y) = (42.8866,-7.65198)

6103 : (x,y) = (41.8874,-7.6104)

6104 : (x,y) = (42.1807,-8.56644)

6105 : (x,y) = (41.614,-9.39042)

6106 : (x,y) = (42.0914,-10.2691)

6107 : (x,y) = (42.4508,-11.2023)

6108 : (x,y) = (41.8841,-12.0263)

6109 : (x,y) = (42.3377,-11.1351)

6110 : (x,y) = (42.0304,-12.0867)

6111 : (x,y) = (41.7326,-13.0413)

6112 : (x,y) = (42.1862,-12.1501)

6113 : (x,y) = (41.614,-11.33)

6114 : (x,y) = (41.4721,-12.3199)

6115 : (x,y) = (41.6124,-11.3298)

6116 : (x,y) = (42.3509,-10.6555)

6117 : (x,y) = (41.6921,-9.90319)

6118 : (x,y) = (42.4484,-10.5574)

6119 : (x,y) = (42.2114,-9.5859)

6120 : (x,y) = (42.4371,-10.5601)

6121 : (x,y) = (42.1489,-11.5177)

6122 : (x,y) = (42.4642,-10.5687)

6123 : (x,y) = (43.4001,-10.2164)

6124 : (x,y) = (44.3638,-9.94968)

6125 : (x,y) = (43.598,-10.5927)

6126 : (x,y) = (43.0396,-11.4223)

6127 : (x,y) = (42.8977,-12.4122)

6128 : (x,y) = (43.5726,-11.6742)

6129 : (x,y) = (44.1018,-12.5228)

6130 : (x,y) = (44.1226,-11.523)

6131 : (x,y) = (43.1422,-11.7201)

6132 : (x,y) = (43.6543,-12.579)

6133 : (x,y) = (44.527,-12.0908)

6134 : (x,y) = (43.655,-11.6013)

6135 : (x,y) = (44.6401,-11.7736)

6136 : (x,y) = (45.6398,-11.7968)

6137 : (x,y) = (46.6326,-11.6771)

6138 : (x,y) = (47.5416,-11.2602)

6139 : (x,y) = (47.5624,-10.2604)

6140 : (x,y) = (46.8503,-10.9626)

6141 : (x,y) = (45.8503,-10.961)

6142 : (x,y) = (45.6006,-11.9293)

6143 : (x,y) = (45.9878,-12.8513)

6144 : (x,y) = (46.8639,-13.3335)

6145 : (x,y) = (47.7797,-13.735)

6146 : (x,y) = (48.7783,-13.7882)

6147 : (x,y) = (49.7421,-13.5214)

6148 : (x,y) = (48.9234,-12.9473)

6149 : (x,y) = (49.5528,-12.1702)

6150 : (x,y) = (48.614,-11.8258)

6151 : (x,y) = (48.5317,-12.8224)

6152 : (x,y) = (47.535,-12.7409)

6153 : (x,y) = (47.0917,-11.8445)

6154 : (x,y) = (46.4926,-12.6452)

6155 : (x,y) = (46.0139,-11.7672)

6156 : (x,y) = (45.9847,-10.7676)

6157 : (x,y) = (45.0382,-11.0902)

6158 : (x,y) = (45.344,-10.1381)

6159 : (x,y) = (45.6468,-11.0911)

6160 : (x,y) = (45.0719,-11.9094)

6161 : (x,y) = (44.0761,-11.818)

6162 : (x,y) = (43.7879,-12.7755)

6163 : (x,y) = (44.317,-13.624)

6164 : (x,y) = (44.1258,-14.6056)

6165 : (x,y) = (43.1373,-14.4546)

6166 : (x,y) = (44.1353,-14.5177)

6167 : (x,y) = (43.5388,-13.7151)

6168 : (x,y) = (43.4099,-12.7235)

6169 : (x,y) = (44.1617,-12.0641)

6170 : (x,y) = (44.3905,-11.0906)

6171 : (x,y) = (45.3899,-11.1238)

6172 : (x,y) = (45.8046,-12.0338)

6173 : (x,y) = (45.1068,-12.75)

6174 : (x,y) = (44.1182,-12.599)

6175 : (x,y) = (43.1183,-12.5874)

6176 : (x,y) = (43.0859,-13.5869)

6177 : (x,y) = (42.6427,-12.6905)

6178 : (x,y) = (42.9645,-13.6373)

6179 : (x,y) = (43.8894,-13.2571)

6180 : (x,y) = (42.909,-13.4542)

6181 : (x,y) = (42.6238,-12.4957)

6182 : (x,y) = (42.0193,-11.6992)

6183 : (x,y) = (41.247,-12.3345)

6184 : (x,y) = (40.2512,-12.243)

6185 : (x,y) = (40.7313,-11.3658)

6186 : (x,y) = (41.44,-12.0713)

6187 : (x,y) = (40.5304,-12.4868)

6188 : (x,y) = (41.2029,-13.2268)

6189 : (x,y) = (40.6144,-12.4183)

6190 : (x,y) = (40.7448,-11.4269)

6191 : (x,y) = (40.7356,-10.4269)

6192 : (x,y) = (40.6764,-9.42868)

6193 : (x,y) = (39.9236,-10.0869)

6194 : (x,y) = (40.7898,-10.5865)

6195 : (x,y) = (39.975,-11.1662)

6196 : (x,y) = (40.635,-10.415)

6197 : (x,y) = (41.3847,-11.0767)

6198 : (x,y) = (41.6491,-12.0411)

6199 : (x,y) = (41.8486,-11.0612)

6200 : (x,y) = (42.1513,-12.0143)

6201 : (x,y) = (43.0074,-12.5312)

6202 : (x,y) = (43.6107,-13.3287)

6203 : (x,y) = (44.6043,-13.4416)

6204 : (x,y) = (43.6062,-13.3801)

6205 : (x,y) = (44.4297,-13.9474)

6206 : (x,y) = (45.3106,-14.4208)

6207 : (x,y) = (44.5075,-15.0167)

6208 : (x,y) = (44.4583,-14.0179)

6209 : (x,y) = (43.4996,-14.3023)

6210 : (x,y) = (42.7045,-13.6959)

6211 : (x,y) = (41.9925,-14.398)

6212 : (x,y) = (41.3566,-13.6263)

6213 : (x,y) = (41.6433,-12.6683)

6214 : (x,y) = (42.5604,-12.2697)

6215 : (x,y) = (43.5086,-12.5872)

6216 : (x,y) = (42.5125,-12.6755)

6217 : (x,y) = (42.4103,-13.6703)

6218 : (x,y) = (42.8816,-12.7883)

6219 : (x,y) = (42.1375,-12.1203)

6220 : (x,y) = (43.1277,-11.9807)

6221 : (x,y) = (43.9474,-11.4079)

6222 : (x,y) = (44.8966,-11.0933)

6223 : (x,y) = (45.8916,-10.9935)

6224 : (x,y) = (45.4189,-11.8747)

6225 : (x,y) = (46.084,-12.6214)

6226 : (x,y) = (47.0742,-12.4819)

6227 : (x,y) = (47.8822,-11.8928)

6228 : (x,y) = (46.9367,-11.5672)

6229 : (x,y) = (47.925,-11.7198)

6230 : (x,y) = (48.1048,-10.7361)

6231 : (x,y) = (49.0009,-10.2921)

6232 : (x,y) = (49.6734,-11.0322)

6233 : (x,y) = (50.5905,-10.6336)

6234 : (x,y) = (49.6318,-10.918)

6235 : (x,y) = (50.6055,-10.6901)

6236 : (x,y) = (49.8749,-10.0073)

6237 : (x,y) = (50.2061,-10.9508)

6238 : (x,y) = (49.2965,-11.3662)

6239 : (x,y) = (49.9413,-10.6019)

6240 : (x,y) = (50.3921,-11.4945)

6241 : (x,y) = (50.963,-12.3156)

6242 : (x,y) = (51.9576,-12.4186)

6243 : (x,y) = (52.5793,-11.6352)

6244 : (x,y) = (51.6962,-12.1045)

6245 : (x,y) = (51.1051,-12.9111)

6246 : (x,y) = (51.0527,-13.9097)

6247 : (x,y) = (50.2805,-14.545)

6248 : (x,y) = (50.4177,-15.5356)

6249 : (x,y) = (50.8443,-14.6311)

6250 : (x,y) = (51.6621,-15.2066)

6251 : (x,y) = (50.6866,-14.9868)

6252 : (x,y) = (49.8349,-14.4628)

6253 : (x,y) = (50.7425,-14.8826)

6254 : (x,y) = (51.7063,-14.6158)

6255 : (x,y) = (50.7193,-14.4549)

6256 : (x,y) = (49.9345,-15.0747)

6257 : (x,y) = (48.9817,-15.3782)

6258 : (x,y) = (48.6395,-14.4386)

6259 : (x,y) = (48.0673,-13.6185)

6260 : (x,y) = (48.6943,-14.3975)

6261 : (x,y) = (48.1032,-15.2042)

6262 : (x,y) = (48.954,-15.7296)

6263 : (x,y) = (49.0515,-16.7248)

6264 : (x,y) = (49.1918,-15.7347)

6265 : (x,y) = (50.0834,-15.2818)

6266 : (x,y) = (49.4322,-14.5229)

6267 : (x,y) = (48.4499,-14.7102)

6268 : (x,y) = (47.6409,-15.2981)

6269 : (x,y) = (48.22,-16.1133)

6270 : (x,y) = (48.6376,-15.2047)

6271 : (x,y) = (47.7408,-15.6472)

6272 : (x,y) = (47.0574,-16.3773)

6273 : (x,y) = (46.1621,-15.9319)

6274 : (x,y) = (46.9459,-15.3109)

6275 : (x,y) = (47.9173,-15.0732)

6276 : (x,y) = (47.7655,-16.0616)

6277 : (x,y) = (48.2011,-15.1615)

6278 : (x,y) = (49.1693,-15.412)

6279 : (x,y) = (48.9781,-16.3936)

6280 : (x,y) = (49.9636,-16.2244)

6281 : (x,y) = (50.9616,-16.2875)

6282 : (x,y) = (50.6195,-15.3479)

6283 : (x,y) = (51.2695,-16.1078)

6284 : (x,y) = (50.4744,-15.5014)

6285 : (x,y) = (50.2084,-14.5374)

6286 : (x,y) = (51.2084,-14.5274)

6287 : (x,y) = (51.6709,-13.6407)

6288 : (x,y) = (52.6707,-13.6207)

6289 : (x,y) = (52.3759,-12.6652)

6290 : (x,y) = (52.6434,-11.7016)

6291 : (x,y) = (52.384,-12.6674)

6292 : (x,y) = (51.5413,-13.2057)

6293 : (x,y) = (52.3434,-12.6085)

6294 : (x,y) = (52.5915,-11.6398)

6295 : (x,y) = (53.5239,-11.2782)

6296 : (x,y) = (52.5983,-11.6569)

6297 : (x,y) = (52.6759,-12.6539)

6298 : (x,y) = (52.0955,-11.8395)

6299 : (x,y) = (52.4579,-10.9075)

6300 : (x,y) = (52.2307,-9.93363)

6301 : (x,y) = (51.2311,-9.96203)

6302 : (x,y) = (51.3317,-8.96711)

6303 : (x,y) = (50.7088,-9.74944)

6304 : (x,y) = (49.9302,-10.377)

6305 : (x,y) = (49.6324,-11.3316)

6306 : (x,y) = (50.4345,-10.7344)

6307 : (x,y) = (49.7439,-11.4576)

6308 : (x,y) = (50.5067,-12.1043)

6309 : (x,y) = (51.4013,-12.5511)

6310 : (x,y) = (51.2199,-13.5345)

6311 : (x,y) = (51.4487,-12.561)

6312 : (x,y) = (52.1574,-13.2665)

6313 : (x,y) = (51.1581,-13.3049)

6314 : (x,y) = (51.2587,-12.31)

6315 : (x,y) = (50.6865,-11.4899)

6316 : (x,y) = (51.6114,-11.1097)

6317 : (x,y) = (51.1387,-11.9909)

6318 : (x,y) = (50.3539,-12.6107)

6319 : (x,y) = (49.4755,-13.0887)

6320 : (x,y) = (49.7688,-14.0447)

6321 : (x,y) = (48.9314,-14.5914)

6322 : (x,y) = (47.9319,-14.5598)

6323 : (x,y) = (46.9741,-14.2724)

6324 : (x,y) = (46.0926,-13.8003)

6325 : (x,y) = (45.2738,-13.2262)

6326 : (x,y) = (45.9965,-13.9174)

6327 : (x,y) = (46.7395,-14.5866)

6328 : (x,y) = (46.1895,-15.4218)

6329 : (x,y) = (47.1831,-15.5347)

6330 : (x,y) = (46.1927,-15.6727)

6331 : (x,y) = (45.626,-16.4967)

6332 : (x,y) = (44.7887,-17.0434)

6333 : (x,y) = (45.2334,-16.1477)

6334 : (x,y) = (44.3129,-15.7568)

6335 : (x,y) = (44.2937,-14.757)

6336 : (x,y) = (43.5959,-15.4732)

6337 : (x,y) = (43.7461,-14.4845)

6338 : (x,y) = (44.1425,-15.4026)

6339 : (x,y) = (44.8247,-14.6715)

6340 : (x,y) = (44.2123,-13.881)

6341 : (x,y) = (43.4464,-14.524)

6342 : (x,y) = (42.5031,-14.856)

6343 : (x,y) = (41.9531,-15.6911)

6344 : (x,y) = (41.6393,-14.7416)

6345 : (x,y) = (42.5055,-15.2413)

6346 : (x,y) = (43.4578,-14.9362)

6347 : (x,y) = (42.6168,-14.3953)

6348 : (x,y) = (43.6115,-14.4983)

6349 : (x,y) = (43.1834,-15.402)

6350 : (x,y) = (42.3986,-16.0217)

6351 : (x,y) = (41.3986,-16.0201)

6352 : (x,y) = (40.9824,-15.1108)

6353 : (x,y) = (41.1295,-16.1)

6354 : (x,y) = (41.9957,-16.5996)

6355 : (x,y) = (41.2192,-15.9696)

6356 : (x,y) = (41.4836,-16.934)

6357 : (x,y) = (40.5658,-17.3311)

6358 : (x,y) = (41.3679,-16.7339)

6359 : (x,y) = (40.4326,-16.3802)

6360 : (x,y) = (40.5033,-15.3827)

6361 : (x,y) = (41.3325,-15.9417)

6362 : (x,y) = (42.2752,-15.6082)

6363 : (x,y) = (43.1225,-15.077)

6364 : (x,y) = (43.3023,-14.0933)

6365 : (x,y) = (43.9002,-13.2917)

6366 : (x,y) = (44.781,-13.7651)

6367 : (x,y) = (43.9565,-13.1992)

6368 : (x,y) = (44.4942,-14.0423)

6369 : (x,y) = (43.6306,-14.5465)

6370 : (x,y) = (44.5353,-14.1206)

6371 : (x,y) = (45.2462,-13.4173)

6372 : (x,y) = (46.1467,-12.9823)

6373 : (x,y) = (45.4954,-12.2234)

6374 : (x,y) = (44.6598,-11.6741)

6375 : (x,y) = (44.6406,-10.6743)

6376 : (x,y) = (45.3925,-10.0149)

6377 : (x,y) = (44.6827,-9.31047)

6378 : (x,y) = (44.5538,-8.31881)

6379 : (x,y) = (45.3658,-8.90243)

6380 : (x,y) = (46.1371,-8.26589)

6381 : (x,y) = (45.6236,-7.40778)

6382 : (x,y) = (46.6193,-7.50083)

6383 : (x,y) = (47.1569,-8.34401)

6384 : (x,y) = (46.1927,-8.60921)

6385 : (x,y) = (45.7766,-7.69991)

6386 : (x,y) = (46.7725,-7.61003)

6387 : (x,y) = (46.418,-8.54509)

6388 : (x,y) = (45.4239,-8.65328)

6389 : (x,y) = (44.4624,-8.92811)

6390 : (x,y) = (43.6306,-9.48314)

6391 : (x,y) = (44.5296,-9.92098)

6392 : (x,y) = (43.5338,-9.82951)

6393 : (x,y) = (43.8301,-8.87441)

6394 : (x,y) = (43.1394,-9.5976)

6395 : (x,y) = (42.2217,-9.99475)

6396 : (x,y) = (42.06,-10.9816)

6397 : (x,y) = (43.0597,-11.0048)

6398 : (x,y) = (42.0835,-11.2214)

6399 : (x,y) = (42.0044,-10.2246)

6400 : (x,y) = (42.6544,-10.9845)

6401 : (x,y) = (42.2263,-11.8882)

6402 : (x,y) = (41.7016,-12.7395)

6403 : (x,y) = (40.7518,-13.0526)

6404 : (x,y) = (40.5902,-14.0394)

6405 : (x,y) = (39.6948,-13.594)

6406 : (x,y) = (38.7095,-13.4233)

6407 : (x,y) = (39.1513,-14.3204)

6408 : (x,y) = (38.825,-15.2657)

6409 : (x,y) = (37.9388,-14.8025)

6410 : (x,y) = (38.526,-15.6119)

6411 : (x,y) = (37.6382,-16.0723)

6412 : (x,y) = (38.573,-16.4275)

6413 : (x,y) = (39.4861,-16.0198)

6414 : (x,y) = (40.4728,-16.1822)

6415 : (x,y) = (40.0841,-15.2608)

6416 : (x,y) = (40.4184,-14.3184)

6417 : (x,y) = (40.3261,-15.3141)

6418 : (x,y) = (39.6305,-14.5956)

6419 : (x,y) = (39.8367,-15.5742)

6420 : (x,y) = (39.0644,-16.2095)

6421 : (x,y) = (38.0786,-16.3771)

6422 : (x,y) = (37.0811,-16.3055)

6423 : (x,y) = (38.0758,-16.4085)

6424 : (x,y) = (37.7307,-17.3471)

6425 : (x,y) = (36.8295,-17.7806)

6426 : (x,y) = (36.6481,-18.764)

6427 : (x,y) = (37.18,-17.9172)

6428 : (x,y) = (36.6897,-18.7888)

6429 : (x,y) = (35.7074,-18.9761)

6430 : (x,y) = (34.7291,-19.183)

6431 : (x,y) = (34.63,-18.1879)

6432 : (x,y) = (35.5431,-17.7801)

6433 : (x,y) = (35.3945,-16.7912)

6434 : (x,y) = (35.2033,-17.7728)

6435 : (x,y) = (34.295,-17.3545)

6436 : (x,y) = (34.0098,-16.396)

6437 : (x,y) = (33.0388,-16.1568)

6438 : (x,y) = (34.0386,-16.1368)

6439 : (x,y) = (33.4638,-16.955)

6440 : (x,y) = (34.264,-17.5548)

6441 : (x,y) = (34.2216,-18.5539)

6442 : (x,y) = (35.201,-18.7557)

6443 : (x,y) = (34.52,-18.0234)

6444 : (x,y) = (33.5383,-17.833)

6445 : (x,y) = (32.6615,-17.3522)

6446 : (x,y) = (32.2791,-18.2762)

6447 : (x,y) = (32.19,-17.2802)

6448 : (x,y) = (31.2083,-17.0897)

6449 : (x,y) = (30.7533,-17.9802)

6450 : (x,y) = (29.7595,-17.8689)

6451 : (x,y) = (30.6403,-18.3423)

6452 : (x,y) = (31.4483,-17.7532)

6453 : (x,y) = (31.2603,-16.771)

6454 : (x,y) = (30.7213,-15.9287)

6455 : (x,y) = (29.7338,-16.0864)

6456 : (x,y) = (30.5685,-16.6371)

6457 : (x,y) = (31.5466,-16.4286)

6458 : (x,y) = (31.7625,-17.4051)

6459 : (x,y) = (32.7463,-17.226)

6460 : (x,y) = (33.1427,-18.1441)

6461 : (x,y) = (32.6905,-17.2522)

6462 : (x,y) = (32.7213,-16.2527)

6463 : (x,y) = (32.3698,-15.3165)

6464 : (x,y) = (33.2689,-15.7543)

6465 : (x,y) = (32.3371,-15.3912)

6466 : (x,y) = (31.7814,-14.5598)

6467 : (x,y) = (31.3203,-13.6725)

6468 : (x,y) = (31.9854,-14.4192)

6469 : (x,y) = (31.3889,-13.6167)

6470 : (x,y) = (32.026,-12.8459)

6471 : (x,y) = (33.0252,-12.8059)

6472 : (x,y) = (32.0271,-12.7444)

6473 : (x,y) = (31.654,-13.6721)

6474 : (x,y) = (31.3849,-14.6353)

6475 : (x,y) = (30.802,-15.4478)

6476 : (x,y) = (31.7413,-15.1049)

6477 : (x,y) = (32.7411,-15.1281)

6478 : (x,y) = (32.4178,-14.1818)

6479 : (x,y) = (31.4203,-14.1102)

6480 : (x,y) = (31.0782,-13.1706)

6481 : (x,y) = (31.5318,-12.2794)

6482 : (x,y) = (32.4677,-11.9271)

6483 : (x,y) = (32.7321,-12.8915)

6484 : (x,y) = (33.701,-12.6441)

6485 : (x,y) = (32.708,-12.7622)

6486 : (x,y) = (32.8186,-11.7684)

6487 : (x,y) = (32.165,-12.5252)

6488 : (x,y) = (31.5038,-13.2754)

6489 : (x,y) = (30.5328,-13.0361)

6490 : (x,y) = (30.7291,-14.0167)

6491 : (x,y) = (31.6981,-13.7693)

6492 : (x,y) = (32.3876,-13.045)

6493 : (x,y) = (32.1768,-14.0225)

6494 : (x,y) = (33.1161,-13.6796)

6495 : (x,y) = (32.1808,-13.3259)

6496 : (x,y) = (33.1567,-13.1076)

6497 : (x,y) = (32.9101,-12.1385)

6498 : (x,y) = (33.8874,-12.3501)

6499 : (x,y) = (34.4361,-11.5141)

6500 : (x,y) = (34.8417,-12.4281)

6501 : (x,y) = (34.6438,-11.4479)

6502 : (x,y) = (33.705,-11.1035)

6503 : (x,y) = (32.8141,-10.6492)

6504 : (x,y) = (31.8473,-10.9047)

6505 : (x,y) = (31.5717,-9.94347)

6506 : (x,y) = (30.622,-10.2565)

6507 : (x,y) = (29.8825,-10.9296)

6508 : (x,y) = (30.7552,-10.4415)

6509 : (x,y) = (30.2504,-9.57825)

6510 : (x,y) = (30.4172,-10.5642)

6511 : (x,y) = (31.3622,-10.8913)

6512 : (x,y) = (32.127,-10.2471)

6513 : (x,y) = (33.0629,-9.89479)

6514 : (x,y) = (33.9677,-9.46885)

6515 : (x,y) = (34.8185,-9.99425)

6516 : (x,y) = (34.3725,-10.8892)

6517 : (x,y) = (34.7626,-9.96849)

6518 : (x,y) = (34.255,-10.8301)

6519 : (x,y) = (34.8503,-11.6336)

6520 : (x,y) = (33.8505,-11.612)

6521 : (x,y) = (34.8116,-11.3357)

6522 : (x,y) = (33.8318,-11.1354)

6523 : (x,y) = (32.9235,-10.7171)

6524 : (x,y) = (33.0309,-11.7113)

6525 : (x,y) = (32.0791,-11.4048)

6526 : (x,y) = (32.1399,-10.4066)

6527 : (x,y) = (32.5483,-9.49384)

6528 : (x,y) = (31.6319,-9.09377)

6529 : (x,y) = (31.6526,-8.09399)

6530 : (x,y) = (32.6526,-8.10717)

6531 : (x,y) = (32.6302,-9.10692)

6532 : (x,y) = (33.5029,-8.61874)

6533 : (x,y) = (32.9867,-9.47522)

6534 : (x,y) = (32.3431,-8.70987)

6535 : (x,y) = (33.2109,-8.21299)

6536 : (x,y) = (33.3809,-7.22754)

6537 : (x,y) = (32.4421,-6.88314)

6538 : (x,y) = (33.1984,-7.53739)

6539 : (x,y) = (32.5321,-6.79168)

6540 : (x,y) = (31.5383,-6.68032)

6541 : (x,y) = (31.476,-7.67838)

6542 : (x,y) = (31.5666,-6.6825)

6543 : (x,y) = (30.5749,-6.81055)

6544 : (x,y) = (31.5331,-6.5246)

6545 : (x,y) = (30.9286,-5.72803)

6546 : (x,y) = (30.2773,-4.96915)

6547 : (x,y) = (31.2234,-4.64511)

6548 : (x,y) = (30.5697,-5.40191)

6549 : (x,y) = (29.9975,-4.58181)

6550 : (x,y) = (29.0798,-4.97896)

6551 : (x,y) = (29.6201,-4.13749)

6552 : (x,y) = (29.8293,-3.15962)

6553 : (x,y) = (30.8285,-3.11963)

6554 : (x,y) = (31.7483,-3.51198)

6555 : (x,y) = (32.7395,-3.64477)

6556 : (x,y) = (32.6273,-4.63847)

6557 : (x,y) = (33.601,-4.41049)

6558 : (x,y) = (34.1801,-5.22575)

6559 : (x,y) = (34.8475,-4.48111)

6560 : (x,y) = (35.7634,-4.88264)

6561 : (x,y) = (34.926,-5.42933)

6562 : (x,y) = (35.3407,-6.33929)

6563 : (x,y) = (34.3748,-6.08067)

6564 : (x,y) = (33.6352,-6.75378)

6565 : (x,y) = (33.192,-5.85737)

6566 : (x,y) = (33.2396,-6.85624)

6567 : (x,y) = (33.8844,-6.09191)

6568 : (x,y) = (33.2158,-6.83549)

6569 : (x,y) = (33.722,-5.97309)

6570 : (x,y) = (34.3118,-5.16553)

6571 : (x,y) = (34.0717,-6.1363)

6572 : (x,y) = (34.7064,-6.90906)

6573 : (x,y) = (35.6098,-7.33788)

6574 : (x,y) = (34.7462,-7.84204)

6575 : (x,y) = (35.6423,-7.39809)

6576 : (x,y) = (36.4983,-7.91496)

6577 : (x,y) = (35.6414,-7.39945)

6578 : (x,y) = (34.8524,-6.78508)

6579 : (x,y) = (34.2884,-5.95929)

6580 : (x,y) = (34.5656,-4.99846)

6581 : (x,y) = (35.3239,-4.34663)

6582 : (x,y) = (34.5798,-3.67857)

6583 : (x,y) = (33.9753,-2.882)

6584 : (x,y) = (33.8266,-1.89311)

6585 : (x,y) = (33.5866,-2.86388)

6586 : (x,y) = (33.6074,-1.8641)

6587 : (x,y) = (32.6357,-2.10025)

6588 : (x,y) = (31.7479,-2.56062)

6589 : (x,y) = (30.9714,-1.93059)

6590 : (x,y) = (29.9981,-1.70106)

6591 : (x,y) = (30.9191,-1.31164)

6592 : (x,y) = (31.2124,-2.26768)

6593 : (x,y) = (31.2,-3.26761)

6594 : (x,y) = (30.7748,-2.36252)

6595 : (x,y) = (31.0996,-1.41673)

6596 : (x,y) = (30.2165,-1.88595)

6597 : (x,y) = (29.4927,-1.19588)

6598 : (x,y) = (29.7699,-0.235041)

6599 : (x,y) = (30.7586,-0.0856029)

6600 : (x,y) = (31.7552,-0.168692)

6601 : (x,y) = (31.3913,-1.10015)

6602 : (x,y) = (30.6211,-0.462388)

6603 : (x,y) = (31.6193,-0.402424)

6604 : (x,y) = (32.618,-0.352445)

6605 : (x,y) = (32.9334,0.596539)

6606 : (x,y) = (32.174,-0.0540857)

6607 : (x,y) = (32.9701,0.551101)

6608 : (x,y) = (32.8611,1.54514)

6609 : (x,y) = (31.9257,1.89891)

6610 : (x,y) = (32.0926,0.912922)

6611 : (x,y) = (31.1128,1.11315)

6612 : (x,y) = (32.0739,1.38951)

6613 : (x,y) = (32.8859,0.805883)

6614 : (x,y) = (33.3572,1.68784)

6615 : (x,y) = (34.0072,0.927924)

6616 : (x,y) = (34.9824,0.706587)

6617 : (x,y) = (34.0359,0.384051)

6618 : (x,y) = (34.3195,-0.574873)

6619 : (x,y) = (35.299,-0.776663)

6620 : (x,y) = (34.9538,-1.71521)

6621 : (x,y) = (35.2786,-0.76943)

6622 : (x,y) = (36.1514,-0.281253)

6623 : (x,y) = (35.2048,-0.603789)

6624 : (x,y) = (36.1631,-0.317837)

6625 : (x,y) = (35.1713,-0.445891)

6626 : (x,y) = (35.5429,0.482477)

6627 : (x,y) = (34.6896,-0.0388513)

6628 : (x,y) = (34.3009,0.88252)

6629 : (x,y) = (35.3005,0.912515)

6630 : (x,y) = (36.0161,0.214097)

6631 : (x,y) = (37.0097,0.101153)

6632 : (x,y) = (37.6622,0.858995)

6633 : (x,y) = (37.842,1.8427)

6634 : (x,y) = (38.84,1.77955)

6635 : (x,y) = (38.318,2.63249)

6636 : (x,y) = (39.1319,3.21353)

6637 : (x,y) = (38.2114,3.60441)

6638 : (x,y) = (37.2311,3.40731)

6639 : (x,y) = (37.1488,2.4107)

6640 : (x,y) = (37.276,1.41883)

